"","con","ext_all","ext_big","ext_small","ext_BAS","shan_all","shan_big","shan_small","shan_BAS","maxTL","minTL","varTL","maxTL_B","minTL_B","varTL_B","maxTL_s","minTL_s","varTL_s"
"64",0.05,5,4,0,0,2.64857930549021,1.76857757939532,2.76013408118599,2.6342978713359,5.8125,1,1.71909990678006,5.57410570274049,2,0.794892881440116,4.25,2,0.405520227711725
"65",0.05,8,7,0,0,2.79285090727572,1.3746255901694,1.89454097794679,2.78630057011471,6.52232142857143,1,2.37152377275284,6.16666666666667,2,0.733696011826643,6.52232142857143,2,2.07315177949818
"66",0.05,8,5,0,0,2.75212519772447,1.66972253748763,2.52553006165017,2.73290569368274,5.56902767828943,1,1.91168845331023,5.11679118713557,2.16666666666667,0.529627513874873,4.9986504494655,2,0.827177977601912
"67",0.05,12,10,0,0,3.01456861772565,0.772465532334351,2.59325690702374,2.98694435459484,5.33362244897959,1,1.36437610180941,4.99890649157225,2,0.428955067796298,4.92803571428571,2,0.532540680831885
"68",0.05,9,7,0,0,2.83678743448806,1.48261515595069,2.65437545662389,2.81781785439917,5.5059429571996,1,1.2729811966383,5.5059429571996,2.5,0.41765558084127,4.58333923847317,2,0.414569843521168
"69",0.05,17,12,0,0,2.46628734373864,1.77178310145652,2.32567679924061,2.44141636788719,5.75406152292692,1,1.93462941352232,5.44538645046122,2,0.900111682239502,4.69577922077922,2,0.62722200348353
"70",0.05,12,8,2,0,2.59312611763073,0.745308865202219,2.89302326195346,2.58424107138181,5.71513842437755,1,1.80079110533615,5.38172877846791,2,0.598518797093821,4.59375,2,0.581415527703096
"71",0.05,9,6,0,0,2.85407960906053,1.54520159681189,2.4660174087041,2.8416521612629,5.83320105820106,1,1.84612553292939,5.38826609347443,2,0.752811946562028,5,2,0.595569982369524
"72",0.05,14,9,1,0,2.9881664424991,2.19441974019858,2.66034883465497,2.9782281664388,4.83901250708617,1,1.17551033095306,4.83901250708617,2.88333333333333,0.270310881131335,3.39633333333333,2,0.245550652580114
"73",0.05,13,5,2,0,2.79951687377448,1.50520869797908,2.3997184909823,2.77900243682796,4.95860992475609,1,1.31934652815479,4.95860992475609,2.25,0.299789926546182,4.5125,2,0.503977602869235
"74",0.05,6,6,0,0,2.85789101664608,1.42709982992571,2.75857283788381,2.84897623405295,4.95,1,1.10390226079011,4.40601000803466,2,0.538011295606622,4.125,2,0.397262253588443
"75",0.05,11,6,1,0,2.82043827527923,2.35417554511021,2.48099220803204,2.79737140756481,4.38263395523382,1,1.10137252311967,4.38263395523382,2.25,0.515492407681612,3.55522486772487,2,0.217248247656959
"76",0.05,5,5,0,0,2.9683242976735,1.62428263988718,2.71848854242514,2.95882796651399,4.73810452700775,1,1.28204234192544,4.73810452700775,2,0.460688346158524,4,2,0.355318872579454
"77",0.05,23,12,2,0,2.6926347216472,1.44383682473284,2.41744579193697,2.67762285539285,6.1,1,2.15004320962037,6,3.325,0.584977010567357,6,2,1.1201343346267
"78",0.05,25,15,1,0,3.00274384785832,1.35473092516003,2.62988005533147,2.97101442045669,5.36360677083333,1,1.43106797820471,5.36360677083333,2.08333333333333,0.780474803861687,4.36360677083333,2,0.434852114104827
"79",0.05,6,5,0,0,2.69698233015659,1.29871069664809,2.11175766542899,2.67394308149257,4.80962207792208,1,1.24993600194997,4.80962207792208,2,0.705524705611872,3.62348484848485,2,0.309558137863458
"80",0.05,9,6,0,0,2.95761395211001,1.87361653182566,2.71965101094804,2.94879445084071,5.73651839517748,1,1.86115756561528,5.73651839517748,2.42857142857143,0.584564197116903,5.53333333333333,2,0.838555185242222
"81",0.05,9,3,1,0,2.8016725247504,1.85067576701605,2.34937235344411,2.78370686826318,5.12349206349206,1,1.40579985505378,5.12349206349206,2,0.462997507175014,4.33333333333333,2,0.608253189928141
"82",0.05,25,12,2,0,2.56254580262727,1.89591824997561,2.53607930993266,2.53219470537937,5.07765257214485,1,1.41958669257245,5.07765257214485,2,0.416418390366489,4.4,2,0.507295278326384
"83",0.05,20,7,0,0,2.93962923982011,1.45005932965892,2.82582057349765,2.92773715056157,5.20208333333333,1,1.30213011373526,5.01100779462889,2,0.446213255313916,5.20208333333333,2,0.621296126233726
"84",0.05,17,9,0,0,3.0028713116839,1.05571740109082,2.54847079794322,2.99137760660014,4.9923990475757,1,1.00480171091803,4.9923990475757,2,0.550296988879134,3.28528025793651,2,0.20251699324267
"85",0.05,23,11,3,0,2.49510434484151,1.69632579397984,2.42299390595482,2.47965806329659,6.91865881032548,1,1.93953619465633,5.91865881032548,3,0.69360841959536,4.71338383838384,2,0.721720403987092
"86",0.05,19,11,1,0,2.69778005855063,1.71818598146574,2.64346809108268,2.67892393208337,5.76644736842105,1,1.78935951020109,5.76644736842105,2.75,0.650126380560271,5.26644736842105,2,0.650761333128747
"87",0.05,14,7,1,0,3.04155401744364,2.01314872399538,2.57262716148543,3.02060197349631,5.1528156708067,1,1.30483187528879,5.1528156708067,2,0.761187852819951,3.79398148148148,2,0.317961554014766
"88",0.05,24,14,1,0,2.78476191911602,1.93256242189315,2.26539555364557,2.76621053015637,6.36111111111111,1,1.81413201174726,6.28832102576788,2.625,0.64620620612924,4.75,2,0.646271256574566
"89",0.05,11,9,0,0,2.97983671695182,1.35464547005069,2.83826093269797,2.96837062575118,4.77779113431581,1,1.27664910811065,4.77779113431581,2,0.427813739435713,4.11572390572391,2,0.33686498121178
"90",0.05,18,7,1,0,2.73259063505979,1.19500368115083,2.75184236126276,2.70313357219792,4.72014675821033,1,1.16302255441626,4.72014675821033,2,0.535322927895182,3.4318785201729,2,0.278752801268815
"91",0.05,8,5,0,0,3.08667437775252,1.84550112719637,2.41202348862685,3.06506431769733,4.9129737169489,1,1.51136633278747,4.9129737169489,2,0.660170892609046,4.47482638888889,2,0.441667662822724
"92",0.05,15,8,0,0,3.06095025263468,1.4342063756465,2.63554464368413,3.04558775166159,5.90271398281491,1,1.5404831672001,5.90271398281491,2,0.809369937740989,3.8781675170068,2,0.414984579006665
"93",0.05,7,5,0,0,2.78859371763545,1.50413952471029,2.75879899731697,2.78594985217112,5.17200945135112,1,1.37998461679194,5.17200945135112,2.5,0.398599287122576,3.94849793447294,2,0.392317496975698
"94",0.05,2,2,0,0,2.98205614694876,1.27462079238381,2.74485402693444,2.97363040450417,5.22010418113834,1,1.69897425428581,5.22010418113834,2,0.477370731711386,5,2,0.54071295752787
"95",0.05,9,6,0,0,2.82424702229508,1.80466899221063,2.91645510399971,2.80829719780015,5.15721278493264,1,1.26270116267238,5.15721278493264,2,0.598518082472138,3.33333333333333,2,0.231729114579679
"96",0.05,22,12,6,0,2.66019566547373,1.87692134378532,2.29104634296078,2.63717419929635,5.75208303192515,1,1.59126389973949,5.75208303192515,2.37179487179487,0.773192701937745,4.33333333333333,2,0.457043657213815
"97",0.05,12,6,1,0,3.06187094861557,1.96199327092955,2.33355352830419,3.04898683315678,4.82088576453308,1,1.31484559063857,4.49723297338319,2,0.391045225590318,4.8,2,0.455354299501614
"98",0.05,12,7,1,0,2.94363223219721,1.46438202144212,1.95757760766154,2.91160666171892,5.64410774410774,1,1.82835442125793,5.49397715053579,2,0.720668103122784,3.98333333333333,2,0.42888161870695
"99",0.05,2,1,0,0,2.78241669820995,2.49766566275333,2.50869714638864,2.77528016285222,5.27827796534423,1,1.70185281650779,5.27827796534423,3,0.332778634087035,4.4,2,0.651259086927242
"100",0.05,8,4,0,0,2.79273848423513,1.99121774697558,2.22752590789403,2.78466697998394,5.16499547569656,1,1.5302226555672,5.16499547569656,2,0.575198836610687,4.76212522045855,2,0.647998993086256
"101",0.075,14,7,2,0,2.82617503207608,1.80683308442066,2.18495778770887,2.80223036693876,5.64083030202822,1,1.63737418077366,5.47793829916226,2,0.492944648393724,4.00499461101313,2,0.449655338611762
"102",0.075,37,13,7,0,2.05981007826892,1.41953226184084,2.63567396682154,2.03874033546943,6.74221917069255,1,2.40602662607695,6.74221917069255,3.26392272000428,0.606590759752026,6,2,1.58190580294601
"103",0.075,23,12,2,0,2.35037976720623,1.25935779823151,2.9051879350625,2.31454529850745,6.625,1,2.16580230432252,6.08805491578855,2.57777777777778,0.872366618985551,5.625,2,1.11058850254035
"104",0.075,14,6,3,0,2.72460413475472,1.70126454067852,2.45220433582113,2.7048851873745,7.75,1,3.44600484269945,7,2.16666666666667,0.939022608433814,7.08333333333333,2,2.49571897305883
"105",0.075,26,7,3,0,2.39320813871891,1.20657906610344,2.6600073646991,2.37221583247369,5.61109205691141,1,1.87532861021256,5.61109205691141,2,0.631880871326187,5.140625,2,0.851468831086318
"106",0.075,9,4,2,0,2.52365010205611,1.60481501993125,2.63431367839722,2.49351792601238,6.03206773767346,1,1.95077633944612,6.03206773767346,2.28571428571429,0.715046783850761,6,2,0.715598796923839
"107",0.075,23,10,1,0,2.23728888914001,1.76890762288817,2.66487018395574,2.20596157334637,6.44467471111613,1,2.23453830316888,6.44467471111613,3.88700482008344,0.645999190595031,5.03154178338002,2,0.796321550480479
"108",0.075,13,7,2,0,2.57040249965091,1.04793241585612,2.47503693787822,2.53759769253065,6.40663746843434,1,2.05314103675343,6.05345527726958,4.19609799208145,0.243669899352171,5.42484375,2,0.827876969843084
"109",0.075,32,18,2,0,2.5689766599734,1.13426681909082,2.72254650266561,2.54234333773533,5.00431222746554,1,1.48420307371325,5.00431222746554,2,0.41020347491701,4.50354166666667,2,0.707496804078569
"110",0.075,15,5,1,0,2.00997565135143,1.40041127431936,2.80605362938213,1.99353869785936,5.64213217546279,1,1.62507468556082,5.64213217546279,2.83333333333333,0.710116732387194,4,2,0.314436647963388
"111",0.075,32,11,4,0,2.21383582949703,1.87180881092856,2.56952227712441,2.180541890124,5.84875883308911,1,1.69394709072706,5.67224898913846,2,0.796113526268073,4.21732256520448,2,0.588764851973496
"112",0.075,29,14,0,0,2.33607948082608,2.03006071425415,2.60850301490367,2.30962597467434,6.23917822513974,1,2.01960364590267,6.23917822513974,2,0.988989499304259,6.07094124199387,2,1.01510121611234
"113",0.075,8,3,2,0,2.7926716345119,2.38206439493701,2.84088537782516,2.77028667024367,5.9148143022727,1,2.19207669075421,5.9148143022727,2,0.728079637300584,4.78472222222222,2,0.697292070131601
"114",0.075,28,14,6,0,2.48785167527392,1.05325519551834,1.86590036693071,2.46373911112879,5.77401455026455,1,1.63513460170746,5.42998296186846,2.42857142857143,0.306817788624692,4.77401455026455,2,0.6143575250489
"115",0.075,23,6,5,0,2.19833379180762,2.40057992178533,2.48772530420893,2.16839544747077,7.05618595521414,1,1.84272455582955,7.05618595521414,3.0775623139881,0.523552775082766,4.93681392356815,2,0.645891975179884
"116",0.075,16,9,2,0,2.53049662773254,1.208938108325,2.27700849907678,2.50259281922305,5.21964893734848,1,1.33039935265757,5.21964893734848,3,0.331342984512811,4.375,2,0.41510473474291
"117",0.075,8,5,1,0,2.78850715953193,1.40419127002552,2.76206012803255,2.77581671172787,5.08595142188173,1,1.41420234396225,5.08595142188173,2,0.621098308923378,4.36527093596059,2,0.551104452138104
"118",0.075,6,3,0,0,2.57326316469327,1.80827674285346,1.81173098144281,2.55875890232625,6.29173824341678,1,1.83390308483643,5.46012016187022,2.5,0.463381111578207,3.79017344713367,2,0.248034171946612
"119",0.075,8,7,0,0,2.03304124818167,0.774041103577128,2.51349689794848,2.00386644402168,4.89672441008803,1,1.17631758455336,4.89672441008803,2.55,0.524589264813788,4.21666666666667,2,0.471179854105141
"120",0.075,40,15,6,0,1.58370826636375,1.14499268422139,2.4085858415507,1.56051755687373,7.16508753742775,1,2.60670868491433,7.16508753742775,4.03024612622827,0.52563408893286,5.42452517187234,2,0.944875321647196
"121",0.075,18,6,1,0,2.39563946613512,1.84839379774263,2.76817987799088,2.35149460564618,6.41188275526777,1,2.02095927648288,6.41188275526777,2.72142857142857,0.600004904295826,5.04166666666667,2,0.576250041079641
"122",0.075,25,14,3,0,2.51680424318758,1.56965366093804,2.40054293776123,2.49351585847187,7,1,2.04670573307021,7,2,0.914862500971448,6,2,0.947437477451202
"123",0.075,38,16,1,0,2.33371567198135,1.47942729013014,2.74151589920955,2.30833776324959,5.47714833059661,1,1.51921184343024,5.47714833059661,3.2,0.367848708319961,4.72333971902937,2,0.617974285990256
"124",0.075,15,8,3,0,2.68291975884113,0.963017532831962,2.38340345527644,2.67140288038291,6.85905500082183,1,2.90283212216629,6.84755776773372,4.32307692307692,0.363629162160922,5.91121794871795,2,1.70023830284776
"125",0.075,30,10,4,0,2.68902349315894,0.691949226328769,2.43591964371945,2.67863723415804,7.49364801864802,1,2.59534403011263,6.06218424165191,2.33333333333333,0.576138327563475,7.49364801864802,2,2.07385513340827
"126",0.075,15,6,1,0,2.35312675074686,1.6939126385321,2.72127448470597,2.30219757837665,6.15526164437253,1,2.07484157978418,5.87924728044924,3.36904761904762,0.551059682454805,4.70524691358025,2,0.483141062940648
"127",0.075,11,9,0,0,2.9819170014056,1.03482540467628,2.70236181819125,2.96396116906031,6.38356326348496,1,1.48048840104109,6.38356326348496,2.59090909090909,0.805742057579963,3.8625,2,0.262877304120796
"128",0.075,19,12,4,0,2.62382983682082,1.32062849723028,2.51134165131752,2.60859648995974,5.92136525782676,1,1.71206580414582,5.92136525782676,3.44444444444444,0.428825317107963,4.5,2,0.595640474576193
"129",0.075,22,4,9,0,1.63823967656711,1.80622497833283,1.79876840374487,1.61834995351286,5.62543922145998,1,1.4754377414602,5.62543922145998,2.55714285714286,0.575342922347841,3.85347892847893,2,0.284767441857309
"130",0.075,13,10,1,0,2.51964610342426,1.44699277967851,2.77276952903107,2.50731258141953,4.52261575842717,1,1.11189356343185,4.52261575842717,2,0.699601501380082,3.3587962962963,2,0.20825418072208
"131",0.075,19,8,3,0,2.48533352601141,1.82347302122251,2.58165330161465,2.45557936243587,6.34388180239094,1,2.06155932490092,6.34388180239094,2.83333333333333,0.848562777070181,4.18708429994486,2,0.50957346263379
"132",0.075,7,4,1,0,2.21867254344013,1.98974803036406,2.42787485563431,2.20783800991363,5.459980671587,1,1.52248235028923,5.459980671587,2,0.66745292889094,4.03583895302863,2,0.445522986559093
"133",0.075,15,5,2,0,2.63207842968292,2.44523199373254,2.49057574063878,2.62736065530669,5.27459061504944,1,1.45093639035409,4.90361960615197,2,0.364160024360219,4.2995880221392,2,0.696137079733839
"134",0.075,22,7,3,0,2.0517720667816,1.23299400348549,2.5743862914166,2.02484200450506,6.95462814306539,1,2.1128187078655,6.95462814306539,2.9375,0.833430994952495,4.31111111111111,2,0.434199315982854
"135",0.075,21,10,3,0,2.58238861861118,1.88255532291556,2.18707218104885,2.55013182018914,5.93441945412186,1,1.74591445966915,5.29987015228115,2.80012531328321,0.449285417570218,4.75,2,0.733579818425154
"136",0.075,7,4,2,0,2.43091889799296,1.56742501846281,2.5657506594323,2.42151046130255,6.46503646070027,1,1.92368596095577,6.46503646070027,2.82857142857143,0.518666063065086,5,2,0.726719467002862
"137",0.075,17,6,3,0,2.60447170832675,1.80981037893058,2.40242065819471,2.59638390572398,6.35358796296296,1,2.18806960028756,6.07412201647886,2.69791666666667,0.710639858682582,6.35358796296296,2,0.901928432080597
"138",0.075,13,7,1,0,2.63699544781829,1.25295660814665,2.71854604085851,2.62606998129723,5.55024558216054,1,1.58267696137727,5.55024558216054,3.32467532467532,0.240081711415887,4.5,2,0.540190150904246
"139",0.075,32,21,4,0,2.40434181481642,1.3528209028742,2.59041527124455,2.3870382306498,5.87303123554051,1,2.06707474426057,5.87303123554051,2.5,0.722885081524236,4.97312583095916,2,0.724559052793976
"140",0.075,11,5,0,0,2.39873258384275,1.69563800785071,2.58378104758035,2.3771176459133,5.29848899365381,1,1.53734964736094,4.95780662418044,2.9,0.222717225671284,4.34869205937181,2,0.471337059245775
"141",0.075,22,8,5,0,2.65219444318106,1.55313591500175,2.77867536304768,2.62288957539385,5.91856060606061,1,2.27155444937709,5.84265027237795,3.0171568627451,0.463995623998738,5.91856060606061,2,1.26834534877753
"142",0.075,16,7,2,0,2.24078899594703,1.49293482020756,2.50140795084759,2.21374267919481,5.68357345936171,1,1.8030731498932,5.68357345936171,3.09895833333333,0.74659957248638,5.24907600732601,2,0.750277100363403
"143",0.075,21,9,6,0,2.8872214888072,1.99161714879924,2.57733204054288,2.86846921824702,7.03125,1,2.74668435705836,6.08638337681148,3.0703125,0.868049970949445,6.140625,2,1.99889712761581
"144",0.075,28,14,6,0,2.16491904969785,1.05013805969118,2.47672494914634,2.14563394986529,6.18332889075945,1,1.99883641295309,6.18332889075945,3.65396825396826,0.419462822914227,5.70002875982043,2,1.04235382012953
"145",0.075,41,11,11,0,1.61940272030938,1.98034997627639,2.04863388367819,1.58063777764478,6.82175315131098,1,2.2118755747641,6.82175315131098,3.69552845528455,0.631989027175875,5.28475609756097,2,0.897169009233392
"146",0.075,17,10,1,0,2.62870202433045,1.52962991675918,2.70863963737402,2.6117953767948,6.09265781976217,1,1.78064347036589,5.80334758939944,2,1.01752714497271,4.35337947427293,2,0.597726663500229
